"Step","fc_balanced_seed42 - classwise_grad/maj_count","fc_balanced_seed42 - classwise_grad/maj_count__MIN","fc_balanced_seed42 - classwise_grad/maj_count__MAX","fc_severe_seed42 - classwise_grad/maj_count","fc_severe_seed42 - classwise_grad/maj_count__MIN","fc_severe_seed42 - classwise_grad/maj_count__MAX","fc_extreme_seed42 - classwise_grad/maj_count","fc_extreme_seed42 - classwise_grad/maj_count__MIN","fc_extreme_seed42 - classwise_grad/maj_count__MAX"
"20","","","","2004","2004","2004","2031","2031","2031"
"40","1042","1042","1042","2008","2008","2008","2034","2034","2034"
"60","","","","1994","1994","1994","2036","2036","2036"
"80","1017","1017","1017","2012","2012","2012","2032","2032","2032"
"100","","","","2009","2009","2009","2037","2037","2037"
"120","981","981","981","2020","2020","2020","2037","2037","2037"
"140","","","","2006","2006","2006","2041","2041","2041"
"160","1032","1032","1032","2006","2006","2006","2037","2037","2037"
"180","","","","2005","2005","2005","2033","2033","2033"
"200","1038","1038","1038","2006","2006","2006","2030","2030","2030"
"220","","","","2006","2006","2006","2040","2040","2040"
"240","1036","1036","1036","2012","2012","2012","2040","2040","2040"
"260","","","","2013","2013","2013","2038","2038","2038"
"280","1025","1025","1025","2003","2003","2003","2035","2035","2035"
"300","","","","2011","2011","2011","2037","2037","2037"
"320","1049","1049","1049","2006","2006","2006","2034","2034","2034"
"340","","","","2005","2005","2005","2035","2035","2035"
"360","968","968","968","2012","2012","2012","2037","2037","2037"
"380","","","","2008","2008","2008","2034","2034","2034"
"400","1019","1019","1019","1999","1999","1999","2038","2038","2038"
"440","1015","1015","1015","","","","","",""
"480","1028","1028","1028","","","","","",""
"520","1036","1036","1036","","","","","",""
"560","1044","1044","1044","","","","","",""
"600","1026","1026","1026","","","","","",""
"640","1047","1047","1047","","","","","",""
"680","1009","1009","1009","","","","","",""
"720","1015","1015","1015","","","","","",""
"760","1017","1017","1017","","","","","",""
"800","1067","1067","1067","","","","","",""