"Step","fc_balanced_seed42 - classwise_grad/mean_norm_min","fc_balanced_seed42 - classwise_grad/mean_norm_min__MIN","fc_balanced_seed42 - classwise_grad/mean_norm_min__MAX","fc_severe_seed42 - classwise_grad/mean_norm_min","fc_severe_seed42 - classwise_grad/mean_norm_min__MIN","fc_severe_seed42 - classwise_grad/mean_norm_min__MAX","fc_extreme_seed42 - classwise_grad/mean_norm_min","fc_extreme_seed42 - classwise_grad/mean_norm_min__MIN","fc_extreme_seed42 - classwise_grad/mean_norm_min__MAX"
"20","","","","21.957805382164338","21.957805382164338","21.957805382164338","25.527388559085505","25.527388559085505","25.527388559085505"
"40","0.8266128200215365","0.8266128200215365","0.8266128200215365","9.287033443427442","9.287033443427442","9.287033443427442","22.941504308703905","22.941504308703905","22.941504308703905"
"60","","","","5.721841577203539","5.721841577203539","5.721841577203539","14.243916631007687","14.243916631007687","14.243916631007687"
"80","0.347130005591758","0.347130005591758","0.347130005591758","5.318812059508891","5.318812059508891","5.318812059508891","12.149213565954575","12.149213565954575","12.149213565954575"
"100","","","","4.115108942316283","4.115108942316283","4.115108942316283","9.982732503203039","9.982732503203039","9.982732503203039"
"120","0.2285309451220594","0.2285309451220594","0.2285309451220594","5.783062578897682","5.783062578897682","5.783062578897682","7.941471897660303","7.941471897660303","7.941471897660303"
"140","","","","4.196788143906356","4.196788143906356","4.196788143906356","8.74748636622354","8.74748636622354","8.74748636622354"
"160","0.4373793293009159","0.4373793293009159","0.4373793293009159","4.986489601011869","4.986489601011869","4.986489601011869","9.707794310544307","9.707794310544307","9.707794310544307"
"180","","","","4.429072113355602","4.429072113355602","4.429072113355602","7.812094700641438","7.812094700641438","7.812094700641438"
"200","0.31336371844932664","0.31336371844932664","0.31336371844932664","4.274067133802767","4.274067133802767","4.274067133802767","5.664273498796232","5.664273498796232","5.664273498796232"
"220","","","","3.6848554989550606","3.6848554989550606","3.6848554989550606","6.569571406118056","6.569571406118056","6.569571406118056"
"240","0.2521732038010132","0.2521732038010132","0.2521732038010132","3.0324050615352363","3.0324050615352363","3.0324050615352363","4.51858336175558","4.51858336175558","4.51858336175558"
"260","","","","4.477931667136653","4.477931667136653","4.477931667136653","7.624136724741399","7.624136724741399","7.624136724741399"
"280","0.19088420997676642","0.19088420997676642","0.19088420997676642","2.154412926065683","2.154412926065683","2.154412926065683","5.939079813999287","5.939079813999287","5.939079813999287"
"300","","","","3.1472385116441313","3.1472385116441313","3.1472385116441313","5.106282333180776","5.106282333180776","5.106282333180776"
"320","0.10945542965697706","0.10945542965697706","0.10945542965697706","2.5973108623061325","2.5973108623061325","2.5973108623061325","5.574005770339668","5.574005770339668","5.574005770339668"
"340","","","","2.8587472442920077","2.8587472442920077","2.8587472442920077","4.150660409907647","4.150660409907647","4.150660409907647"
"360","0.25040454004563784","0.25040454004563784","0.25040454004563784","3.3555243894601587","3.3555243894601587","3.3555243894601587","3.0971611337451592","3.0971611337451592","3.0971611337451592"
"380","","","","1.8487734083135703","1.8487734083135703","1.8487734083135703","5.832579877601913","5.832579877601913","5.832579877601913"
"400","0.10960295429920253","0.10960295429920253","0.10960295429920253","2.4052270731916026","2.4052270731916026","2.4052270731916026","5.580209847922896","5.580209847922896","5.580209847922896"
"440","0.1467494907845496","0.1467494907845496","0.1467494907845496","","","","","",""
"480","0.26173237322077236","0.26173237322077236","0.26173237322077236","","","","","",""
"520","0.06487899319354329","0.06487899319354329","0.06487899319354329","","","","","",""
"560","0.11458651532375308","0.11458651532375308","0.11458651532375308","","","","","",""
"600","0.20483311473640708","0.20483311473640708","0.20483311473640708","","","","","",""
"640","0.11409981831477725","0.11409981831477725","0.11409981831477725","","","","","",""
"680","0.178214316953632","0.178214316953632","0.178214316953632","","","","","",""
"720","0.199561885427065","0.199561885427065","0.199561885427065","","","","","",""
"760","0.08918371689191561","0.08918371689191561","0.08918371689191561","","","","","",""
"800","0.0975408410184734","0.0975408410184734","0.0975408410184734","","","","","",""