"Step","fc_balanced_seed42 - classwise_grad/min_count","fc_balanced_seed42 - classwise_grad/min_count__MIN","fc_balanced_seed42 - classwise_grad/min_count__MAX","fc_severe_seed42 - classwise_grad/min_count","fc_severe_seed42 - classwise_grad/min_count__MIN","fc_severe_seed42 - classwise_grad/min_count__MAX","fc_extreme_seed42 - classwise_grad/min_count","fc_extreme_seed42 - classwise_grad/min_count__MIN","fc_extreme_seed42 - classwise_grad/min_count__MAX"
"20","","","","44","44","44","17","17","17"
"40","1006","1006","1006","40","40","40","14","14","14"
"60","","","","54","54","54","12","12","12"
"80","1031","1031","1031","36","36","36","16","16","16"
"100","","","","39","39","39","11","11","11"
"120","1067","1067","1067","28","28","28","11","11","11"
"140","","","","42","42","42","7","7","7"
"160","1016","1016","1016","42","42","42","11","11","11"
"180","","","","43","43","43","15","15","15"
"200","1010","1010","1010","42","42","42","18","18","18"
"220","","","","42","42","42","8","8","8"
"240","1012","1012","1012","36","36","36","8","8","8"
"260","","","","35","35","35","10","10","10"
"280","1023","1023","1023","45","45","45","13","13","13"
"300","","","","37","37","37","11","11","11"
"320","999","999","999","42","42","42","14","14","14"
"340","","","","43","43","43","13","13","13"
"360","1080","1080","1080","36","36","36","11","11","11"
"380","","","","40","40","40","14","14","14"
"400","1029","1029","1029","49","49","49","10","10","10"
"440","1033","1033","1033","","","","","",""
"480","1020","1020","1020","","","","","",""
"520","1012","1012","1012","","","","","",""
"560","1004","1004","1004","","","","","",""
"600","1022","1022","1022","","","","","",""
"640","1001","1001","1001","","","","","",""
"680","1039","1039","1039","","","","","",""
"720","1033","1033","1033","","","","","",""
"760","1031","1031","1031","","","","","",""
"800","981","981","981","","","","","",""