"Step","fc_balanced_seed42 - val/recall_class_0","fc_balanced_seed42 - val/recall_class_0__MIN","fc_balanced_seed42 - val/recall_class_0__MAX","fc_severe_seed42 - val/recall_class_0","fc_severe_seed42 - val/recall_class_0__MIN","fc_severe_seed42 - val/recall_class_0__MAX","fc_extreme_seed42 - val/recall_class_0","fc_extreme_seed42 - val/recall_class_0__MIN","fc_extreme_seed42 - val/recall_class_0__MAX"
"20","","","","1","1","1","1","1","1"
"40","0.9851411581039429","0.9851411581039429","0.9851411581039429","1","1","1","1","1","1"
"60","","","","1","1","1","1","1","1"
"80","0.9955423474311829","0.9955423474311829","0.9955423474311829","1","1","1","1","1","1"
"100","","","","1","1","1","1","1","1"
"120","0.9940564632415771","0.9940564632415771","0.9940564632415771","1","1","1","1","1","1"
"140","","","","1","1","1","1","1","1"
"160","0.9940564632415771","0.9940564632415771","0.9940564632415771","1","1","1","1","1","1"
"180","","","","1","1","1","1","1","1"
"200","0.9955423474311829","0.9955423474311829","0.9955423474311829","1","1","1","1","1","1"
"220","","","","0.9985141158103943","0.9985141158103943","0.9985141158103943","1","1","1"
"240","0.9955423474311829","0.9955423474311829","0.9955423474311829","0.9985141158103943","0.9985141158103943","0.9985141158103943","1","1","1"
"260","","","","0.9985141158103943","0.9985141158103943","0.9985141158103943","1","1","1"
"280","0.9940564632415771","0.9940564632415771","0.9940564632415771","0.9985141158103943","0.9985141158103943","0.9985141158103943","1","1","1"
"300","","","","0.9985141158103943","0.9985141158103943","0.9985141158103943","1","1","1"
"320","0.9955423474311829","0.9955423474311829","0.9955423474311829","0.9985141158103943","0.9985141158103943","0.9985141158103943","1","1","1"
"340","","","","0.9985141158103943","0.9985141158103943","0.9985141158103943","1","1","1"
"360","0.9955423474311829","0.9955423474311829","0.9955423474311829","0.9985141158103943","0.9985141158103943","0.9985141158103943","1","1","1"
"380","","","","0.9985141158103943","0.9985141158103943","0.9985141158103943","1","1","1"
"400","0.9955423474311829","0.9955423474311829","0.9955423474311829","0.9985141158103943","0.9985141158103943","0.9985141158103943","1","1","1"
"440","0.9955423474311829","0.9955423474311829","0.9955423474311829","","","","","",""
"480","0.9955423474311829","0.9955423474311829","0.9955423474311829","","","","","",""
"520","0.9955423474311829","0.9955423474311829","0.9955423474311829","","","","","",""
"560","0.9955423474311829","0.9955423474311829","0.9955423474311829","","","","","",""
"600","0.9955423474311829","0.9955423474311829","0.9955423474311829","","","","","",""
"640","0.9955423474311829","0.9955423474311829","0.9955423474311829","","","","","",""
"680","0.9955423474311829","0.9955423474311829","0.9955423474311829","","","","","",""
"720","0.9955423474311829","0.9955423474311829","0.9955423474311829","","","","","",""
"760","0.9955423474311829","0.9955423474311829","0.9955423474311829","","","","","",""
"800","0.9955423474311829","0.9955423474311829","0.9955423474311829","","","","","",""